state,district,murder,rape,kidnapping,robbery,theft,riots,cheating,total_crimes,hurt,assault_women,dowry_deaths,risk_label,population_lakhs,crime_rate,murder_rate,rape_rate,kidnapping_rate,robbery_rate,theft_rate,riots_rate,cheating_rate,crime_severity_index,crime_diversity_score,tourist_risk_score,safety_score
Andhra Pradesh,Alluri Sitharama Raju,29,34,5,1,46,5,23,998,126,20,2,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Anakapalli,16,37,26,8,264,3,91,4565,640,244,5,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Anantapuramu,51,12,31,7,405,23,179,5342,1118,174,2,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Annamayya,37,11,10,5,275,24,157,4287,1147,126,2,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Bapatla,42,22,15,5,391,5,210,5146,1442,187,3,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Chittoor,30,12,14,7,374,15,155,7280,1158,196,2,Moderate,43.5,167.35632183908046,6.8965517241379315,2.7586206896551726,3.218390804597701,1.6091954022988506,85.97701149425288,3.4482758620689657,35.632183908045974,1.5694455922285073,6,3.8020910610416236,9.345590311466987
Andhra Pradesh,Dr BR Ambedkar Konaseema,17,23,34,15,416,2,171,5391,1117,318,3,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,East Godavari,25,27,46,31,699,1,210,6790,2172,216,0,Moderate,52.0,130.57692307692307,4.8076923076923075,5.1923076923076925,8.846153846153847,5.961538461538462,134.4230769230769,0.19230769230769232,40.38461538461539,2.1308266340875734,5,6.512647737800694,9.489407973231316
Andhra Pradesh,Eluru,32,28,49,7,659,4,424,9047,1157,409,8,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
Andhra Pradesh,Guntur,37,29,50,31,1117,29,719,9468,1255,398,6,Moderate,49.2,192.4390243902439,7.520325203252032,5.89430894308943,10.162601626016258,6.30081300813008,227.03252032520325,5.89430894308943,146.1382113821138,4.126048891360093,6,7.843744770238309,9.247509979731111
Andhra Pradesh,Kakinada,34,16,37,5,665,7,171,5326,1458,213,3,High,24.55,238.0220713073005,21.835824809861002,20.834370591652146,73.60501567398119,16.644693473961766,279.97693900602405,20.69364161849711,62.63952892985151,8.637109772635414,0,0.0,9.069267609155714
